Date,Start Time,End Time,Duration (min),From,To,KM,Trip Type,Purpose,Claim (ZAR),Month
2019-07-08,2019-07-08 15:15:55,2019-07-08 15:23:18,7.4,"-26.0927, 27.939","-26.0762, 27.9711",4.9,Business,Meeting,22.74,July
2019-07-08,2019-07-08 15:50:29,2019-07-08 15:54:33,4.1,"-26.0762, 27.9711","-26.0882, 27.9587",2.57,Business,Meeting,11.92,July
2019-07-08,2019-07-08 16:36:16,2019-07-08 16:52:19,16.1,"-26.0872, 27.9581","-26.1214, 28.019",8.99,Business,Client Visit,41.71,July
2019-07-08,2019-07-08 17:44:26,2019-07-08 18:24:40,40.2,"-26.1158, 28.0219","-26.1204, 27.849",24.5,Business,Client Visit,113.68,July
2019-07-08,2019-07-08 18:30:41,2019-07-08 19:16:28,45.8,"-26.1208, 27.849","-26.1074, 27.7778",17.73,Business,General Travel,82.27,July
2019-07-08,2019-07-08 19:23:12,2019-07-08 19:34:12,11.0,"-26.107, 27.7769","-26.1141, 27.6774",11.72,Business,General Travel,54.38,July
2019-07-08,2019-07-08 22:13:57,2019-07-08 23:04:53,50.9,"-26.1134, 27.6803","-26.1046, 27.8428",17.28,Business,General Travel,80.18,July
2019-07-08,2019-07-08 23:13:07,2019-07-08 23:25:24,12.3,"-26.1046, 27.8428","-26.1221, 27.8494",2.69,Business,Local Travel,12.48,July
2019-07-08,2019-07-08 23:35:44,2019-07-08 23:36:51,1.1,"-26.1221, 27.8494","-26.1173, 27.8385",1.21,Business,Local Travel,5.61,July
2019-07-12,2019-07-12 11:27:57,2019-07-12 11:52:15,24.3,"-25.7417, 28.1999","-25.7151, 28.1564",12.44,Business,Client Visit,57.72,July
2019-07-12,2019-07-12 12:41:25,2019-07-12 20:11:22,449.9,"-25.7148, 28.1566","-26.1173, 27.8386",54.91,Business,Client Visit,254.78,July
2019-07-13,2019-07-13 13:24:40,2019-07-13 13:32:45,8.1,"-26.1174, 27.8384","-26.1296, 27.8493",2.1,Business,Meeting,9.74,July
2019-07-13,2019-07-13 14:29:58,2019-07-13 14:40:09,10.2,"-26.13, 27.8506","-26.1174, 27.8384",2.47,Business,Meeting,11.46,July
2019-07-14,2019-07-14 12:15:20,2019-07-14 12:31:40,16.3,"-26.1178, 27.8386","-26.0901, 27.8718",10.42,Business,Client Visit,48.35,July
2019-07-14,2019-07-14 13:56:33,2019-07-14 14:06:48,10.2,"-26.0912, 27.8706","-26.1258, 27.8472",4.54,Business,Meeting,21.07,July
2019-07-14,2019-07-14 14:13:02,2019-07-14 14:17:49,4.8,"-26.1258, 27.8472","-26.1173, 27.8385",1.36,Business,Meeting,6.31,July
2019-07-14,2019-07-14 14:27:21,2019-07-14 14:52:01,24.7,"-26.1173, 27.8385","-26.1174, 27.8385",10.95,Business,Client Visit,50.81,July
2019-07-14,2019-07-14 15:34:42,2019-07-14 16:15:43,41.0,"-26.1173, 27.8385","-26.1121, 27.8476",22.89,Business,Client Visit,106.21,July
2019-07-14,2019-07-14 16:22:06,2019-07-14 16:32:11,10.1,"-26.112, 27.8473","-26.1173, 27.8385",1.58,Business,Meeting,7.33,July
2019-07-15,2019-07-15 07:37:10,2019-07-15 07:46:36,9.4,"-26.1173, 27.8385","-26.112, 27.8473",2.68,Business,Local Travel,12.44,July
2019-07-15,2019-07-15 16:01:24,2019-07-15 16:07:29,6.1,"-26.112, 27.8473","-26.1173, 27.8385",1.87,Business,Meeting,8.68,July
2019-07-16,2019-07-16 07:29:35,2019-07-16 07:37:52,8.3,"-26.1173, 27.8386","-26.112, 27.8473",2.54,Business,Local Travel,11.79,July
2019-07-16,2019-07-16 11:08:41,2019-07-16 11:17:02,8.3,"-26.112, 27.8473","-26.13, 27.8508",2.12,Business,Meeting,9.84,July
2019-07-16,2019-07-16 11:23:11,2019-07-16 11:35:36,12.4,"-26.13, 27.8508","-26.1119, 27.8472",2.54,Business,Meeting,11.79,July
2019-07-16,2019-07-16 13:57:16,2019-07-16 14:03:23,6.1,"-26.112, 27.8473","-26.126, 27.8473",1.92,Business,Meeting,8.91,July
2019-07-16,2019-07-16 14:13:45,2019-07-16 14:30:03,16.3,"-26.126, 27.8472","-26.1506, 27.9263",8.38,Business,Client Visit,38.88,July
2019-07-16,2019-07-16 16:23:14,2019-07-16 17:03:37,40.4,"-26.1507, 27.9255","-26.1173, 27.8385",11.1,Business,Client Visit,51.5,July
2019-07-17,2019-07-17 07:29:16,2019-07-17 07:37:16,8.0,"-26.1173, 27.8385","-26.1119, 27.8472",1.66,Business,Local Travel,7.7,July
2019-07-17,2019-07-17 10:27:43,2019-07-17 10:50:09,22.4,"-26.112, 27.8473","-26.1506, 27.926",9.21,Business,Client Visit,42.73,July
2019-07-17,2019-07-17 11:59:57,2019-07-17 12:18:27,18.5,"-26.1502, 27.9256","-26.112, 27.8473",9.12,Business,Client Visit,42.32,July
2019-07-17,2019-07-17 12:31:01,2019-07-17 13:23:11,52.2,"-26.112, 27.8473","-26.1588, 28.167",64.73,Business,Client Visit,300.35,July
2019-07-17,2019-07-17 13:38:26,2019-07-17 13:51:16,12.8,"-26.1584, 28.1669","-26.1571, 28.1887",3.04,Business,Meeting,14.11,July
2019-07-17,2019-07-17 14:52:29,2019-07-17 15:43:22,50.9,"-26.1583, 28.1886","-25.972, 28.1283",23.19,Business,Client Visit,107.6,July
2019-07-17,2019-07-17 15:59:39,2019-07-17 16:13:52,14.2,"-25.9727, 28.1279","-25.9742, 28.0801",4.86,Business,Meeting,22.55,July
2019-07-17,2019-07-17 16:20:10,2019-07-17 17:35:15,75.1,"-25.9742, 28.0798","-26.1174, 27.8385",33.94,Business,Client Visit,157.48,July
2019-07-18,2019-07-18 07:25:38,2019-07-18 07:35:21,9.7,"-26.1173, 27.8385","-26.112, 27.8472",2.08,Business,Local Travel,9.65,July
2019-07-18,2019-07-18 10:25:21,2019-07-18 11:01:36,36.2,"-26.112, 27.8473","-26.2069, 28.0384",25.04,Business,Client Visit,116.19,July
2019-07-18,2019-07-18 11:54:06,2019-07-18 12:30:49,36.7,"-26.2058, 28.0385","-26.1121, 27.8474",23.03,Business,Client Visit,106.86,July
2019-07-18,2019-07-18 16:07:09,2019-07-18 16:10:40,3.5,"-26.112, 27.8473","-26.1203, 27.8487",1.04,Business,Meeting,4.83,July
2019-07-18,2019-07-18 16:16:47,2019-07-18 16:20:53,4.1,"-26.1205, 27.8489","-26.1174, 27.8385",1.11,Business,Meeting,5.15,July
2019-07-19,2019-07-19 07:28:01,2019-07-19 07:35:51,7.8,"-26.1178, 27.8386","-26.112, 27.8473",1.91,Business,Local Travel,8.86,July
2019-07-19,2019-07-19 10:20:09,2019-07-19 10:28:01,7.9,"-26.112, 27.8473","-26.1173, 27.8385",1.59,Business,Meeting,7.38,July
2019-07-19,2019-07-19 11:15:01,2019-07-19 11:23:06,8.1,"-26.1173, 27.8385","-26.112, 27.8473",2.35,Business,Meeting,10.9,July
2019-07-19,2019-07-19 13:08:01,2019-07-19 13:23:16,15.2,"-26.112, 27.8473","-26.1175, 27.8385",2.19,Business,Meeting,10.16,July
2019-07-19,2019-07-19 13:53:38,2019-07-19 13:59:19,5.7,"-26.1173, 27.8385","-26.1258, 27.8472",1.32,Business,Meeting,6.12,July
2019-07-19,2019-07-19 14:05:23,2019-07-19 14:27:36,22.2,"-26.1258, 27.8472","-26.1244, 27.9073",9.15,Business,Client Visit,42.46,July
2019-07-19,2019-07-19 14:37:36,2019-07-19 14:51:21,13.8,"-26.1246, 27.9074","-26.1118, 27.8478",21.48,Business,Client Visit,99.67,July
2019-07-19,2019-07-19 17:27:05,2019-07-19 17:35:06,8.0,"-26.112, 27.8473","-26.126, 27.8474",1.65,Business,Meeting,7.66,July
2019-07-19,2019-07-19 18:12:59,2019-07-19 18:25:05,12.1,"-26.1258, 27.8477","-26.1173, 27.8385",4.59,Business,Local Travel,21.3,July
2019-07-19,2019-07-19 20:58:35,2019-07-19 22:08:12,69.6,"-26.1131, 27.8345","-26.1203, 27.8112",21.11,Business,Long Distance,97.95,July
2019-07-19,2019-07-19 22:16:23,2019-07-19 22:22:28,6.1,"-26.1203, 27.8112","-26.1256, 27.8469",3.71,Business,Local Travel,17.21,July
2019-07-19,2019-07-19 22:28:34,2019-07-19 22:32:34,4.0,"-26.1256, 27.8469","-26.1188, 27.8188",3.19,Business,Local Travel,14.8,July
2019-07-19,2019-07-19 23:15:22,2019-07-19 23:33:05,17.7,"-26.1203, 27.8112","-26.1131, 27.8345",2.48,Business,Local Travel,11.51,July
2019-07-20,2019-07-20 13:22:06,2019-07-20 13:27:31,5.4,"-26.1131, 27.8345","-26.1186, 27.8504",1.72,Business,Meeting,7.98,July
2019-07-20,2019-07-20 13:34:00,2019-07-20 14:11:44,37.7,"-26.1187, 27.8502","-26.1129, 27.8345",2.75,Business,Meeting,12.76,July
2019-07-20,2019-07-20 17:56:33,2019-07-20 18:31:04,34.5,"-26.1131, 27.8345","-26.1129, 27.8345",11.24,Business,Client Visit,52.15,July
2019-07-20,2019-07-20 19:00:35,2019-07-20 19:19:50,19.2,"-26.1131, 27.8345","-26.1129, 27.8345",3.96,Business,Local Travel,18.37,July
2019-07-22,2019-07-22 07:50:13,2019-07-22 07:59:17,9.1,"-26.1173, 27.8385","-26.1119, 27.8472",2.14,Business,Local Travel,9.93,July
2019-07-22,2019-07-22 12:44:29,2019-07-22 12:53:42,9.2,"-26.112, 27.8473","-26.13, 27.8508",2.13,Business,Meeting,9.88,July
2019-07-22,2019-07-22 13:07:58,2019-07-22 13:16:05,8.1,"-26.1296, 27.8493","-26.112, 27.8473",2.15,Business,Meeting,9.98,July
2019-07-22,2019-07-22 17:15:24,2019-07-22 17:21:27,6.0,"-26.112, 27.8473","-26.119, 27.8503",1.0,Business,Meeting,4.64,July
2019-07-22,2019-07-22 17:40:48,2019-07-22 17:52:57,12.2,"-26.1258, 27.8472","-26.1219, 27.8219",3.67,Business,Meeting,17.03,July
2019-07-22,2019-07-22 18:08:16,2019-07-22 18:17:11,8.9,"-26.1219, 27.8219","-26.1187, 27.8502",2.91,Business,Local Travel,13.5,July
2019-07-22,2019-07-22 19:25:47,2019-07-22 19:29:31,3.7,"-26.121, 27.8492","-26.1131, 27.8345",1.74,Business,Local Travel,8.07,July
2019-07-23,2019-07-23 07:49:07,2019-07-23 07:59:10,10.1,"-26.1178, 27.8387","-26.1119, 27.8472",3.21,Business,Local Travel,14.89,July
2019-07-23,2019-07-23 15:58:27,2019-07-23 16:16:57,18.5,"-26.112, 27.8473","-26.0782, 27.7796",8.08,Business,Client Visit,37.49,July
2019-07-23,2019-07-23 16:39:11,2019-07-23 16:55:15,16.1,"-26.0781, 27.7796","-26.112, 27.8474",7.95,Business,Client Visit,36.89,July
2019-07-23,2019-07-23 18:18:44,2019-07-23 18:37:01,18.3,"-26.112, 27.8473","-26.1129, 27.8345",3.02,Business,Local Travel,14.01,July
2019-07-23,2019-07-23 23:06:47,2019-07-23 23:31:05,24.3,"-26.1131, 27.8345","-26.1131, 27.8345",3.83,Business,Local Travel,17.77,July
2019-07-24,2019-07-24 07:58:16,2019-07-24 08:04:21,6.1,"-26.1178, 27.8387","-26.1119, 27.8471",1.1,Business,Local Travel,5.1,July
2019-07-24,2019-07-24 13:26:53,2019-07-24 14:18:30,51.6,"-26.112, 27.8473","-26.0153, 27.693",19.97,Business,Client Visit,92.66,July
2019-07-24,2019-07-24 14:34:43,2019-07-24 15:29:00,54.3,"-26.0153, 27.6932","-26.112, 27.8472",19.99,Business,Client Visit,92.75,July
2019-07-24,2019-07-24 17:26:12,2019-07-24 17:32:17,6.1,"-26.112, 27.8473","-26.1173, 27.8386",1.53,Business,Meeting,7.1,July
2019-07-24,2019-07-24 19:38:42,2019-07-24 20:15:17,36.6,"-26.1131, 27.8345","-26.1131, 27.8345",2.61,Business,Local Travel,12.11,July
2019-07-25,2019-07-25 06:50:26,2019-07-25 09:48:35,178.2,"-26.1173, 27.8386","-26.112, 27.8473",1.05,Business,Local Travel,4.87,July
2019-07-25,2019-07-25 10:17:32,2019-07-25 10:52:49,35.3,"-26.112, 27.8473","-26.0398, 28.0675",32.45,Business,Client Visit,150.57,July
2019-07-25,2019-07-25 12:12:04,2019-07-25 13:36:55,84.8,"-26.0406, 28.0671","-26.112, 27.8473",28.52,Business,Client Visit,132.33,July
2019-07-25,2019-07-25 17:17:22,2019-07-25 17:22:53,5.5,"-26.1119, 27.8473","-26.1173, 27.8385",1.07,Business,Meeting,4.96,July
2019-07-25,2019-07-25 17:48:44,2019-07-25 17:52:48,4.1,"-26.1174, 27.8384","-26.1119, 27.8473",1.08,Business,Meeting,5.01,July
2019-07-25,2019-07-25 22:56:02,2019-07-25 23:00:27,4.4,"-26.112, 27.8473","-26.1174, 27.8385",1.15,Business,Local Travel,5.34,July
2019-07-26,2019-07-26 07:53:18,2019-07-26 07:59:21,6.0,"-26.1173, 27.8385","-26.112, 27.8472",2.14,Business,Local Travel,9.93,July
2019-07-26,2019-07-26 08:39:55,2019-07-26 08:50:01,10.1,"-26.112, 27.8473","-26.1216, 27.8129",4.4,Business,Meeting,20.42,July
2019-07-26,2019-07-26 09:25:03,2019-07-26 09:37:33,12.5,"-26.1216, 27.8129","-26.112, 27.8473",5.1,Business,Client Visit,23.66,July
2019-07-26,2019-07-26 14:27:24,2019-07-26 14:41:30,14.1,"-26.112, 27.8473","-26.1349, 27.8599",5.49,Business,Client Visit,25.47,July
2019-07-26,2019-07-26 15:01:01,2019-07-26 15:07:11,6.2,"-26.1349, 27.8599","-26.1258, 27.8472",1.65,Business,Meeting,7.66,July
2019-07-26,2019-07-26 15:24:20,2019-07-26 15:37:24,13.1,"-26.1206, 27.8495","-26.112, 27.8473",1.69,Business,Meeting,7.84,July
2019-07-26,2019-07-26 17:53:27,2019-07-26 18:27:40,34.2,"-26.1203, 27.8491","-26.115, 27.7932",10.34,Business,Client Visit,47.98,July
2019-07-26,2019-07-26 18:43:21,2019-07-26 19:01:40,18.3,"-26.115, 27.7932","-26.1219, 27.8219",4.12,Business,Local Travel,19.12,July
2019-07-26,2019-07-26 19:15:53,2019-07-26 19:30:04,14.2,"-26.122, 27.8218","-26.1087, 27.8549",4.44,Business,Local Travel,20.6,July
2019-07-26,2019-07-26 19:46:33,2019-07-26 19:59:58,13.4,"-26.1088, 27.855","-26.1129, 27.8345",3.08,Business,Local Travel,14.29,July
2019-07-27,2019-07-27 07:38:23,2019-07-27 09:09:16,90.9,"-26.1173, 27.8385","-26.1121, 27.8474",192.25,Business,Long Distance,892.04,July
2019-07-27,2019-07-27 09:15:43,2019-07-27 09:32:08,16.4,"-26.112, 27.8473","-26.1186, 27.8101",4.92,Business,Meeting,22.83,July
2019-07-27,2019-07-27 09:37:34,2019-07-27 09:45:35,8.0,"-26.1184, 27.8097","-26.1019, 27.7703",4.42,Business,Meeting,20.51,July
2019-07-27,2019-07-27 09:56:07,2019-07-27 10:10:01,13.9,"-26.1014, 27.7713","-26.1117, 27.8047",4.64,Business,Meeting,21.53,July
2019-07-27,2019-07-27 10:16:28,2019-07-27 11:05:09,48.7,"-26.1117, 27.8047","-26.4686, 28.0677",50.16,Business,Client Visit,232.74,July
2019-07-27,2019-07-27 11:46:04,2019-07-27 13:10:09,84.1,"-26.4687, 28.0679","-26.971, 28.1157",56.06,Business,Client Visit,260.12,July
2019-07-27,2019-07-27 13:27:09,2019-07-27 14:23:49,56.7,"-26.9741, 28.1155","-26.8942, 28.0775",12.63,Business,Client Visit,58.6,July
2019-07-27,2019-07-27 14:39:00,2019-07-27 14:57:38,18.6,"-26.8942, 28.0775","-26.4662, 28.0664",58.99,Business,Client Visit,273.71,July
2019-07-27,2019-07-27 15:07:08,2019-07-27 16:29:44,82.6,"-26.466, 28.0666","-26.1129, 27.8345",58.82,Business,Client Visit,272.92,July
2019-07-27,2019-07-27 16:50:01,2019-07-27 17:08:06,18.1,"-26.1133, 27.8357","-26.1174, 27.8385",13.76,Business,Client Visit,63.85,July
2019-07-28,2019-07-28 08:13:22,2019-07-28 08:19:23,6.0,"-26.1131, 27.8345","-26.1258, 27.8469",1.92,Business,Meeting,8.91,July
2019-07-28,2019-07-28 08:32:45,2019-07-28 08:57:14,24.5,"-26.1262, 27.8466","-26.0275, 27.9444",25.05,Business,Meeting,116.23,July
2019-07-28,2019-07-28 09:07:18,2019-07-28 09:49:41,42.4,"-26.0276, 27.9447","-26.1129, 27.8346",14.99,Business,Client Visit,69.55,July
2019-07-28,2019-07-28 15:10:47,2019-07-28 15:14:50,4.0,"-26.1173, 27.8385","-26.1258, 27.8472",1.3,Business,Meeting,6.03,July
2019-07-28,2019-07-28 15:22:55,2019-07-28 15:27:11,4.3,"-26.126, 27.8464","-26.1173, 27.8385",1.26,Business,Meeting,5.85,July
2019-07-29,2019-07-29 07:52:54,2019-07-29 07:59:02,6.1,"-26.1177, 27.8384","-26.112, 27.8473",1.66,Business,Local Travel,7.7,July
2019-07-29,2019-07-29 09:50:02,2019-07-29 10:02:13,12.2,"-26.112, 27.8473","-26.1218, 27.813",4.16,Business,Meeting,19.3,July
2019-07-29,2019-07-29 10:08:19,2019-07-29 10:20:33,12.2,"-26.1215, 27.8135","-26.1121, 27.8474",3.89,Business,Meeting,18.05,July
2019-07-29,2019-07-29 10:28:38,2019-07-29 10:36:54,8.3,"-26.112, 27.8473","-26.122, 27.8218",3.47,Business,Meeting,16.1,July
2019-07-29,2019-07-29 10:47:05,2019-07-29 10:52:56,5.8,"-26.1219, 27.8219","-26.1174, 27.8385",2.3,Business,Meeting,10.67,July
2019-07-29,2019-07-29 11:01:37,2019-07-29 11:07:41,6.1,"-26.1179, 27.8386","-26.1119, 27.8473",2.14,Business,Meeting,9.93,July
2019-07-29,2019-07-29 11:38:17,2019-07-29 11:44:35,6.3,"-26.112, 27.8473","-26.1173, 27.8385",1.08,Business,Meeting,5.01,July
2019-07-29,2019-07-29 14:03:14,2019-07-29 14:37:48,34.6,"-26.1174, 27.8385","-26.1166, 27.8102",15.89,Business,Client Visit,73.73,July
2019-07-29,2019-07-29 14:52:05,2019-07-29 15:00:25,8.3,"-26.1164, 27.81","-26.1258, 27.8468",3.95,Business,Meeting,18.33,July
2019-07-29,2019-07-29 15:19:03,2019-07-29 15:24:51,5.8,"-26.1258, 27.8468","-26.112, 27.8473",1.55,Business,Meeting,7.19,July
2019-07-29,2019-07-29 16:05:45,2019-07-29 16:11:50,6.1,"-26.112, 27.8473","-26.1173, 27.8385",1.45,Business,Meeting,6.73,July
2019-07-30,2019-07-30 08:03:05,2019-07-30 08:11:51,8.8,"-26.1173, 27.8385","-26.112, 27.8473",2.02,Business,Meeting,9.37,July
2019-07-30,2019-07-30 11:04:47,2019-07-30 12:52:39,107.9,"-26.112, 27.8473","-26.1119, 27.8472",77.27,Business,Client Visit,358.53,July
2019-07-30,2019-07-30 16:03:48,2019-07-30 16:07:08,3.3,"-26.112, 27.8473","-26.1173, 27.8385",1.87,Business,Meeting,8.68,July
2019-07-30,2019-07-30 16:12:20,2019-07-30 16:26:09,13.8,"-26.1173, 27.8385","-26.1548, 27.8735",5.7,Business,Client Visit,26.45,July
2019-07-30,2019-07-30 17:14:55,2019-07-30 17:25:42,10.8,"-26.1548, 27.8735","-26.1296, 27.8492",4.16,Business,Meeting,19.3,July
2019-07-30,2019-07-30 18:12:43,2019-07-30 18:16:22,3.6,"-26.1249, 27.8472","-26.1131, 27.8345",2.01,Business,Local Travel,9.33,July
2019-07-31,2019-07-31 08:07:30,2019-07-31 08:14:18,6.8,"-26.1173, 27.8385","-26.1119, 27.8472",2.04,Business,Meeting,9.47,July
2019-07-31,2019-07-31 10:20:48,2019-07-31 10:29:14,8.4,"-26.112, 27.8473","-26.13, 27.8505",2.39,Business,Meeting,11.09,July
2019-07-31,2019-07-31 10:37:29,2019-07-31 10:45:07,7.6,"-26.13, 27.8508","-26.1193, 27.8502",1.29,Business,Meeting,5.99,July
2019-07-31,2019-07-31 12:43:48,2019-07-31 13:21:13,37.4,"-26.1119, 27.8473","-26.0897, 27.8179",19.73,Business,Client Visit,91.55,July
2019-07-31,2019-07-31 13:39:52,2019-07-31 13:51:07,11.2,"-26.0892, 27.8181","-26.112, 27.8473",3.88,Business,Meeting,18.0,July
2019-07-31,2019-07-31 16:18:47,2019-07-31 16:20:51,2.1,"-26.1195, 27.8504","-26.1173, 27.8385",1.29,Business,Meeting,5.99,July
2019-08-01,2019-08-01 07:53:38,2019-08-01 08:04:23,10.8,"-26.1173, 27.8385","-26.112, 27.8473",1.06,Business,Local Travel,4.92,August
2019-08-01,2019-08-01 16:11:47,2019-08-01 16:24:13,12.4,"-26.112, 27.8473","-26.1258, 27.8472",1.72,Business,Meeting,7.98,August
2019-08-01,2019-08-01 16:40:53,2019-08-01 17:30:45,49.9,"-26.1258, 27.8472","-26.1221, 27.8494",5.15,Business,Client Visit,23.9,August
2019-08-01,2019-08-01 18:03:29,2019-08-01 18:18:43,15.2,"-26.1204, 27.8489","-26.1259, 27.8472",4.64,Business,Local Travel,21.53,August
2019-08-01,2019-08-01 18:29:24,2019-08-01 18:32:21,3.0,"-26.1258, 27.8472","-26.1173, 27.8385",1.31,Business,Local Travel,6.08,August
2019-08-02,2019-08-02 08:07:37,2019-08-02 08:18:43,11.1,"-26.1173, 27.8385","-26.1216, 27.8129",3.57,Business,Meeting,16.56,August
2019-08-02,2019-08-02 08:28:09,2019-08-02 08:40:21,12.2,"-26.1219, 27.813","-26.1119, 27.8472",4.73,Business,Meeting,21.95,August
2019-08-02,2019-08-02 12:28:33,2019-08-02 13:22:23,53.8,"-26.112, 27.8473","-26.1033, 28.1371",35.39,Business,Client Visit,164.21,August
2019-08-02,2019-08-02 14:23:11,2019-08-02 14:30:34,7.4,"-26.1016, 28.1376","-26.0751, 28.117",5.22,Business,Client Visit,24.22,August
2019-08-02,2019-08-02 14:41:25,2019-08-02 14:48:13,6.8,"-26.0753, 28.1166","-26.0834, 28.1057",1.74,Business,Meeting,8.07,August
2019-08-02,2019-08-02 15:02:40,2019-08-02 15:07:01,4.3,"-26.0827, 28.1053","-26.0899, 28.0917",1.57,Business,Meeting,7.28,August
2019-08-02,2019-08-02 15:15:19,2019-08-02 15:19:28,4.2,"-26.0896, 28.0919","-26.0773, 28.0895",1.78,Business,Meeting,8.26,August
2019-08-02,2019-08-02 15:28:37,2019-08-02 16:45:03,76.4,"-26.0761, 28.0884","-26.1119, 27.8473",37.3,Business,Client Visit,173.07,August
2019-08-02,2019-08-02 17:09:46,2019-08-02 17:18:43,8.9,"-26.112, 27.8473","-26.1173, 27.8386",1.54,Business,Meeting,7.15,August
2019-08-02,2019-08-02 17:28:08,2019-08-02 17:32:23,4.2,"-26.1173, 27.8385","-26.1195, 27.8504",1.38,Business,Meeting,6.4,August
2019-08-02,2019-08-02 17:38:27,2019-08-02 17:58:41,20.2,"-26.1195, 27.8504","-26.1259, 27.8471",4.82,Business,Meeting,22.36,August
2019-08-02,2019-08-02 18:09:47,2019-08-02 18:20:03,10.3,"-26.1258, 27.8472","-26.1433, 27.8685",3.22,Business,Local Travel,14.94,August
2019-08-02,2019-08-02 18:28:10,2019-08-02 21:49:52,201.7,"-26.1425, 27.8686","-26.971, 28.1157",139.42,Business,Long Distance,646.91,August
2019-08-03,2019-08-03 00:52:00,2019-08-03 07:08:47,376.8,"-26.971, 28.1157","-26.9952, 28.2109",10.85,Business,General Travel,50.34,August
2019-08-03,2019-08-03 07:49:25,2019-08-03 08:03:42,14.3,"-26.9949, 28.2105","-26.971, 28.1157",10.15,Business,General Travel,47.1,August
2019-08-03,2019-08-03 08:25:14,2019-08-03 12:21:39,236.4,"-26.9734, 28.1142","-26.9758, 28.1275",21.46,Business,Long Distance,99.57,August
2019-08-03,2019-08-03 12:21:39,2019-08-03 13:00:52,39.2,"-26.9757, 28.1269","-26.995, 28.2105",8.72,Business,Client Visit,40.46,August
